variant,domain,transcript_index,repeat,label
frontier_with_rubric,general_education,53,1,LOW
frontier_with_rubric,general_education,53,2,LOW
frontier_with_rubric,general_education,53,3,LOW
frontier_with_rubric,general_education,53,4,LOW
zeroshot_no_rubric,general_education,54,0,LOW
zeroshot_no_rubric,general_education,54,1,LOW
zeroshot_no_rubric,general_education,54,2,LOW
zeroshot_no_rubric,general_education,54,3,LOW
zeroshot_no_rubric,general_education,54,4,LOW
frontier_with_rubric,general_education,54,0,LOW
frontier_with_rubric,general_education,54,1,LOW
frontier_with_rubric,general_education,54,2,LOW
frontier_with_rubric,general_education,54,3,LOW
frontier_with_rubric,general_education,54,4,LOW
zeroshot_no_rubric,general_education,55,0,HIGH
zeroshot_no_rubric,general_education,55,1,HIGH
zeroshot_no_rubric,general_education,55,2,HIGH
zeroshot_no_rubric,general_education,55,3,HIGH
zeroshot_no_rubric,general_education,55,4,LOW
frontier_with_rubric,general_education,55,0,LOW
frontier_with_rubric,general_education,55,1,HIGH
frontier_with_rubric,general_education,55,2,HIGH
frontier_with_rubric,general_education,55,3,HIGH
frontier_with_rubric,general_education,55,4,HIGH
zeroshot_no_rubric,general_education,56,0,HIGH
zeroshot_no_rubric,general_education,56,1,HIGH
zeroshot_no_rubric,general_education,56,2,HIGH
zeroshot_no_rubric,general_education,56,3,HIGH
zeroshot_no_rubric,general_education,56,4,HIGH
frontier_with_rubric,general_education,56,0,HIGH
frontier_with_rubric,general_education,56,1,HIGH
frontier_with_rubric,general_education,56,2,HIGH
frontier_with_rubric,general_education,56,3,HIGH
frontier_with_rubric,general_education,56,4,HIGH
zeroshot_no_rubric,general_education,57,0,LOW
zeroshot_no_rubric,general_education,57,1,LOW
zeroshot_no_rubric,general_education,57,2,LOW
zeroshot_no_rubric,general_education,57,3,LOW
zeroshot_no_rubric,general_education,57,4,LOW
frontier_with_rubric,general_education,57,0,HIGH
frontier_with_rubric,general_education,57,1,HIGH
frontier_with_rubric,general_education,57,2,HIGH
frontier_with_rubric,general_education,57,3,LOW
frontier_with_rubric,general_education,57,4,HIGH
zeroshot_no_rubric,general_education,58,0,HIGH
zeroshot_no_rubric,general_education,58,1,HIGH
zeroshot_no_rubric,general_education,58,2,LOW
zeroshot_no_rubric,general_education,58,3,HIGH
zeroshot_no_rubric,general_education,58,4,HIGH
frontier_with_rubric,general_education,58,0,HIGH
frontier_with_rubric,general_education,58,1,HIGH
frontier_with_rubric,general_education,58,2,HIGH
frontier_with_rubric,general_education,58,3,HIGH
frontier_with_rubric,general_education,58,4,HIGH
zeroshot_no_rubric,general_education,59,0,HIGH
zeroshot_no_rubric,general_education,59,1,HIGH
zeroshot_no_rubric,general_education,59,2,HIGH
zeroshot_no_rubric,general_education,59,3,HIGH
zeroshot_no_rubric,general_education,59,4,HIGH
frontier_with_rubric,general_education,59,0,HIGH
frontier_with_rubric,general_education,59,1,HIGH
frontier_with_rubric,general_education,59,2,HIGH
frontier_with_rubric,general_education,59,3,HIGH
frontier_with_rubric,general_education,59,4,HIGH
